point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp
urban_ns_001_42,urban_ns_001,42,42.36178789397258,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ns_001_43,urban_ns_001,43,42.361854270892856,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ns_001_44,urban_ns_001,44,42.361920647743005,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ns_001_45,urban_ns_001,45,42.361987024523046,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ns_001_46,urban_ns_001,46,42.362,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_0,urban_ew_001,0,42.36,-71.05899999999998,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_1,urban_ew_001,1,42.36,-71.05891016847157,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_2,urban_ew_001,2,42.36,-71.05882033694317,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_3,urban_ew_001,3,42.36,-71.05873050541476,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_4,urban_ew_001,4,42.36,-71.05864067388634,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_5,urban_ew_001,5,42.36,-71.05855084235793,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_6,urban_ew_001,6,42.36,-71.05846101082952,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_7,urban_ew_001,7,42.36,-71.0583711793011,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_8,urban_ew_001,8,42.36,-71.05828134777269,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_9,urban_ew_001,9,42.36,-71.05819151624428,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_10,urban_ew_001,10,42.36,-71.05810168471588,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_11,urban_ew_001,11,42.36,-71.05801185318747,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_12,urban_ew_001,12,42.36,-71.05792202165904,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_13,urban_ew_001,13,42.36,-71.05783219013063,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_14,urban_ew_001,14,42.36,-71.05774235860223,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_15,urban_ew_001,15,42.36,-71.05765252707381,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_16,urban_ew_001,16,42.36,-71.0575626955454,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_17,urban_ew_001,17,42.36,-71.05747286401699,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
