point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,time_period,test_hour,base_edge_id,edge_type,edge_area
urban_ns_001_0700_28,urban_ns_001_0700,28,42.36178789397258,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T07:00:00,Early Morning,7,urban_ns_001,main_street,dense_urban
urban_ns_001_0700_29,urban_ns_001_0700,29,42.361887459326695,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T07:00:00,Early Morning,7,urban_ns_001,main_street,dense_urban
urban_ns_001_0700_30,urban_ns_001_0700,30,42.361987024523046,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T07:00:00,Early Morning,7,urban_ns_001,main_street,dense_urban
urban_ns_001_0700_31,urban_ns_001_0700,31,42.362,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T07:00:00,Early Morning,7,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_0,urban_ns_001_0930,0,42.358999999999995,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_1,urban_ns_001_0930,1,42.35909956977186,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_2,urban_ns_001_0930,2,42.35919913938593,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_3,urban_ns_001_0930,3,42.35929870884223,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_4,urban_ns_001_0930,4,42.35939827814076,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_5,urban_ns_001_0930,5,42.3594978472815,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_6,urban_ns_001_0930,6,42.359597416264485,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_7,urban_ns_001_0930,7,42.359696985089684,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_8,urban_ns_001_0930,8,42.35979655375711,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_9,urban_ns_001_0930,9,42.359896122266754,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_10,urban_ns_001_0930,10,42.359995690618625,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_11,urban_ns_001_0930,11,42.36009525881273,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_12,urban_ns_001_0930,12,42.360194826849046,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_13,urban_ns_001_0930,13,42.36029439472759,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_14,urban_ns_001_0930,14,42.360393962448356,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_15,urban_ns_001_0930,15,42.36049353001134,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_16,urban_ns_001_0930,16,42.360593097416555,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_17,urban_ns_001_0930,17,42.36069266466399,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_18,urban_ns_001_0930,18,42.36079223175366,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
urban_ns_001_0930_19,urban_ns_001_0930,19,42.36089179868554,-71.057,False,0.0,0.0,0.0,0.0,2024-06-15T09:30:00,Mid Morning,9,urban_ns_001,main_street,dense_urban
