point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp
north_south_001_0,north_south_001,0,42.3601,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_1,north_south_001,1,42.36023275733668,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_2,north_south_001,2,42.360365514392875,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_3,north_south_001,3,42.360498271168574,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_4,north_south_001,4,42.360631027663786,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_5,north_south_001,5,42.360763783878504,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_6,north_south_001,6,42.36089653981273,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
north_south_001_7,north_south_001,7,42.361,-71.0589,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_0,east_west_002,0,42.360499999999995,-71.0595,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_1,east_west_002,1,42.360499999999995,-71.05932033694319,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_2,east_west_002,2,42.360499999999995,-71.05914067388635,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_3,east_west_002,3,42.360499999999995,-71.05896101082953,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_4,east_west_002,4,42.360499999999995,-71.05878134777271,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_5,east_west_002,5,42.360499999999995,-71.05860168471588,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_6,east_west_002,6,42.360499999999995,-71.05842202165906,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_7,east_west_002,7,42.360499999999995,-71.05824235860224,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_8,east_west_002,8,42.360499999999995,-71.0580626955454,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
east_west_002_9,east_west_002,9,42.360499999999995,-71.058,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_0,diagonal_003,0,42.36,-71.05899999999998,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_1,diagonal_003,1,42.360106771361906,-71.0588932298218,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_2,diagonal_003,2,42.36021354254237,-71.05878645964364,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_3,diagonal_003,3,42.36032031354143,-71.05867968946546,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_4,diagonal_003,4,42.36042708435904,-71.0585729192873,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_5,diagonal_003,5,42.360533854995225,-71.05846614910912,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_6,diagonal_003,6,42.360640625449975,-71.05835937893094,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_7,diagonal_003,7,42.360747395723294,-71.05825260875278,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_8,diagonal_003,8,42.3608541658152,-71.05814583857459,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_9,diagonal_003,9,42.36096093572566,-71.05803906839641,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_10,diagonal_003,10,42.36106770545469,-71.05793229821825,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_11,diagonal_003,11,42.36117447500229,-71.05782552804007,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_12,diagonal_003,12,42.36128124436846,-71.0577187578619,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_13,diagonal_003,13,42.3613880135532,-71.05761198768373,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_14,diagonal_003,14,42.361494782556505,-71.05750521750555,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
diagonal_003_15,diagonal_003,15,42.36149999999999,-71.0575,False,0.0,0.0,0.0,0.0,2024-06-15T15:00:00
