point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,scenario,test_time,season
main_ns_001_28,main_ns_001,28,42.26744507619492,-71.07363349999999,False,0.0,0.4,0.6666666666666666,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_29,main_ns_001,29,42.267544790914826,-71.07363349999999,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_30,main_ns_001,30,42.26764450547701,-71.07363349999999,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_31,main_ns_001,31,42.26774421988146,-71.07363349999999,True,1.0,1.0,0.8888888888888888,0.9333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_32,main_ns_001,32,42.26784393412819,-71.07363349999999,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_33,main_ns_001,33,42.26794364821719,-71.07363349999999,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_34,main_ns_001,34,42.26804336214847,-71.07363349999999,False,0.0,0.0,0.0,0.2,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_35,main_ns_001,35,42.268143075922005,-71.07363349999999,False,0.3333333333333333,0.2,0.2222222222222222,0.5333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_36,main_ns_001,36,42.26824278953782,-71.07363349999999,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_37,main_ns_001,37,42.26834250299591,-71.07363349999999,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_38,main_ns_001,38,42.26844221629627,-71.07363349999999,True,1.0,1.0,0.6666666666666666,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_39,main_ns_001,39,42.2685419294389,-71.07363349999999,False,0.0,0.0,0.0,0.06666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_40,main_ns_001,40,42.26864164242379,-71.07363349999999,False,0.0,0.4,0.6666666666666666,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_41,main_ns_001,41,42.26874135525097,-71.07363349999999,True,1.0,1.0,0.8888888888888888,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_42,main_ns_001,42,42.26884106792041,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_43,main_ns_001,43,42.268940780432125,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_44,main_ns_001,44,42.26904049278612,-71.07363349999999,True,0.6666666666666666,0.4,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
