point_id,latitude,longitude,location_label,time_label,test_time,current_shade,last_1h_fraction,last_4h_fraction,cumulative_fraction,sun_elevation,sun_azimuth
corrected_08_0612,42.270030000000006,-71.073773,North of center,Summer noon,2024-06-21 12:00:00,True,1.0,0.8888888888888888,0.7333333333333333,71.170555772497,0.0
corrected_00_0618,42.264652999999996,-71.078389,SW corner,Summer evening,2024-06-21 18:00:00,True,0.6666666666666666,0.2222222222222222,0.2962962962962963,15.51801759232961,107.78983256266508
corrected_01_0618,42.264652999999996,-71.068878,SE corner,Summer evening,2024-06-21 18:00:00,True,1.0,0.8888888888888888,0.8518518518518519,15.51801759232961,107.78983256266508
corrected_02_0618,42.271199,-71.078389,NW corner,Summer evening,2024-06-21 18:00:00,True,1.0,0.6666666666666666,0.6296296296296297,15.520017473608245,107.78810176388912
corrected_03_0618,42.271199,-71.068878,NE corner,Summer evening,2024-06-21 18:00:00,True,1.0,0.8888888888888888,0.5185185185185185,15.520017473608245,107.78810176388912
corrected_04_0618,42.26803,-71.073773,Center,Summer evening,2024-06-21 18:00:00,True,1.0,0.6666666666666666,0.7407407407407407,15.519049329724847,107.78893969645644
corrected_05_0618,42.26803,-71.076773,West of center,Summer evening,2024-06-21 18:00:00,False,0.0,0.0,0.2962962962962963,15.519049329724847,107.78893969645644
corrected_06_0618,42.26803,-71.070773,East of center,Summer evening,2024-06-21 18:00:00,True,1.0,1.0,0.4444444444444444,15.519049329724847,107.78893969645644
corrected_07_0618,42.26603,-71.073773,South of center,Summer evening,2024-06-21 18:00:00,True,1.0,1.0,0.8888888888888888,15.518438297933873,107.78946849706895
corrected_08_0618,42.270030000000006,-71.073773,North of center,Summer evening,2024-06-21 18:00:00,True,0.3333333333333333,0.1111111111111111,0.4444444444444444,15.519660343939346,107.788410872403
